央视频道,#genre#
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.129:5146$1920x1080
CCTV-1,http://113.83.248.110:4200/rtp/239.77.1.144:5146$1920x1080
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.119:5146$1920x1080
CCTV-1,http://113.66.41.152:10000/rtp/239.77.0.14:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.30:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.14:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.241:5146$720x576
CCTV-1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8$720x576
CCTV-2,http://113.87.227.200:5000/rtp/239.253.43.17:5146$1920x1080
CCTV-2,http://113.83.248.110:4200/rtp/239.77.1.158:5146$1920x1080
CCTV-2,http://113.83.248.110:4200/rtp/239.77.0.137:5146$1920x1080
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-2,http://113.83.248.110:4200/rtp/239.77.0.31:5146$720x576
CCTV-2,http://113.66.41.152:10000/rtp/239.77.0.31:5146$720x576
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.169:5146$1920x1080
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.32:5146$720x576
CCTV-4,http://113.83.248.110:4200/rtp/239.77.1.166:5146$1920x1080
CCTV-4,http://113.87.227.200:5000/rtp/239.77.1.166:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.0.78:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.253.43.120:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.1.163:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.0.33:5146$720x576
CCTV-4,http://113.66.41.152:10000/rtp/239.77.0.33:5146$720x576
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.170:5146$1920x1080
CCTV-5,http://113.66.41.152:10000/rtp/239.77.0.170:5146$1920x1080
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.34:5146$720x576
CCTV-5+,http://113.87.227.200:5000/rtp/239.77.0.87:5146$1920x1080
CCTV-5+,http://113.83.248.110:4200/rtp/239.77.1.31:5146$1920x1080
CCTV-5+,http://113.83.248.110:4200/rtp/239.77.0.87:5146$1920x1080
CCTV-5+,http://116.23.99.235:50000/rtp/239.77.0.87:5146$1920x1080
CCTV-6,http://113.87.227.200:5000/rtp/239.77.0.178:5146$1920x1080
CCTV-6,http://113.83.248.110:4200/rtp/239.77.0.171:5146$1920x1080
CCTV-6,http://113.83.248.110:4200/rtp/239.77.0.35:5146$720x576
CCTV-7,http://113.87.227.200:5000/rtp/239.77.1.167:5146$1920x1080
CCTV-7,http://113.83.248.110:4200/rtp/239.77.1.159:5146$1920x1080
